USDA,"Chicken, broiler, rotisserie, BBQ, wing meat and skin - 1 wing",513fcc648110a4cafb90ca5e,513fceb475b8dbbc2100096e,NULL,3,NULL,NULL,131,82,9,2,NULL,1,3,65,295,0,0,0,11,0,0,1,2,NULL,1,wing,51,2013-06-28T10:53:50-04:00
USDA,"Frankfurter, beef, pork, and turkey, fat free - 1 frank 1 NLEA serving",513fcc648110a4cafb90ca5e,513fceb475b8dbbc21000d99,NULL,3,NULL,NULL,62,8,0,0,NULL,0,0,23,501,6,0,0,7,0,22,3,5,NULL,1,frank 1 NLEA serving,57,2013-06-28T10:53:50-04:00
USDA,"Beef, ground, 95% lean meat / 5% fat, patty, cooked, pan-broiled - 1 serving ( 3 oz )",513fcc648110a4cafb90ca5e,513fceb775b8dbbc210032a1,NULL,3,NULL,NULL,139,45,5,2,NULL,0,2,64,60,0,0,0,21,0,0,0,13,NULL,1,serving ( 3 oz ),85,2013-06-28T10:53:50-04:00
USDA,"Frostings, cream cheese-flavor, ready-to-eat - 2 tbsp creamy",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002c38,NULL,3,NULL,NULL,136,51,5,1,NULL,2,1,0,63,22,0,20,0,0,0,0,0,NULL,2,tbsp creamy,33,2013-06-28T10:53:50-04:00
USDA,"Chicken, broilers or fryers, giblets, raw - 1 unit (yield from 1 lb ready-to-cook chicken)",513fcc648110a4cafb90ca5e,513fceb475b8dbbc2100078a,NULL,3,NULL,NULL,28,9,1,0,NULL,0,0,60,17,0,0,0,4,40,6,0,7,NULL,1,unit (yield from 1 lb ready-to-cook chicken),23,2013-06-28T10:53:50-04:00
USDA,"Bread, raisin, unenriched - 1 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc2100299a,NULL,3,NULL,NULL,77,11,1,0,NULL,0,0,0,110,14,1,0,2,0,0,1,2,NULL,1,oz,28,2013-06-28T10:53:50-04:00
USDA,"Tea, herb, chamomile, brewed - 1 fl oz",513fcc648110a4cafb90ca5e,513fceb675b8dbbc21001f25,NULL,3,NULL,NULL,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,fl oz,29,2013-06-28T10:53:50-04:00
USDA,"Frankfurter, beef, low fat - 1 cup, sliced",513fcc648110a4cafb90ca5e,513fceb875b8dbbc210035e6,NULL,3,NULL,NULL,347,265,29,12,NULL,0,14,60,1571,2,0,0,18,0,2,1,9,NULL,1,"cup, sliced",151,2013-06-28T10:53:50-04:00
USDA,"CAMPBELL'S SELECT Soup, Roasted Chicken with Rotini & Penne Pasta Soup - 1 cup",513fcc648110a4cafb90ca5e,513fceb475b8dbbc21000bfa,NULL,3,NULL,NULL,90,9,1,0,NULL,0,0,9,480,13,0,2,8,29,0,1,0,NULL,1,cup,245,2013-06-28T10:53:50-04:00
USDA,"Snacks, tortilla chips, plain, white corn - 1 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002afd,NULL,3,NULL,NULL,138,59,6,0,NULL,3,1,0,119,18,1,0,2,0,0,4,3,NULL,1,oz,28,2013-06-28T10:53:50-04:00
USDA,"CAMPBELL'S Red and White, DORA THE EXPLORER Kidshapes Soup, condensed - 1 serving 1/2 cup",513fcc648110a4cafb90ca5e,513fceb475b8dbbc21000b0e,NULL,3,NULL,NULL,79,18,2,0,NULL,0,0,5,480,13,1,2,2,10,0,0,2,NULL,1,serving 1/2 cup,126,2013-06-28T10:53:50-04:00
USDA,"Veal, breast, plate half, boneless, separable lean and fat, cooked, braised - 1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",513fcc648110a4cafb90ca5e,513fceb675b8dbbc21002561,NULL,3,NULL,NULL,820,496,55,21,NULL,3,26,325,186,0,0,0,75,0,0,2,12,NULL,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",291,2013-06-28T10:53:50-04:00
USDA,"Luncheon meat, pork, canned - 1 slice (4-1/4"" x 4-1/4"" x 1/16"")",513fcc648110a4cafb90ca5e,513fceb475b8dbbc21000cdd,NULL,3,NULL,NULL,70,57,6,2,NULL,0,3,13,270,0,0,0,2,0,0,0,0,NULL,1,"slice (4-1/4"" x 4-1/4"" x 1/16"")",21,2013-06-28T10:53:50-04:00
USDA,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked - 1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",513fcc648110a4cafb90ca5e,513fceb575b8dbbc2100134e,NULL,3,NULL,NULL,497,200,22,7,NULL,1,9,200,134,0,0,0,69,0,1,5,14,NULL,1,"piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",236,2013-06-28T10:53:50-04:00
USDA,"Formulated bar, MARS SNACKFOOD US, SNICKERS Marathon Energy Bar, all flavors - 1 bar",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21003360,NULL,3,NULL,NULL,169,42,4,2,NULL,0,1,1,168,22,2,12,9,1,359,33,39,NULL,1,bar,44,2013-06-28T10:53:50-04:00
USDA,"Veal, variety meats and by-products, pancreas, cooked, braised - 1 unit, cooked (yield from 1 lb raw meat)",513fcc648110a4cafb90ca5e,513fceb675b8dbbc210024ea,NULL,3,NULL,NULL,614,315,35,12,NULL,6,12,0,163,0,0,0,69,0,23,4,31,NULL,1,"unit, cooked (yield from 1 lb raw meat)",240,2013-06-28T10:53:50-04:00
USDA,"Oil, oat - 1 tbsp",513fcc648110a4cafb90ca5e,513fceb475b8dbbc21000693,NULL,3,NULL,NULL,120,122,13,2,NULL,5,4,0,0,0,0,0,0,0,0,0,0,NULL,1,tbsp,13,2013-06-28T10:53:50-04:00
USDA,"Carrot juice, canned - 1 fl oz",513fcc648110a4cafb90ca5e,513fceb575b8dbbc210017bd,NULL,3,NULL,NULL,11,0,0,0,NULL,0,0,0,19,2,0,1,0,112,4,0,0,NULL,1,fl oz,29,2013-06-28T10:53:50-04:00
USDA,"Crackers, melba toast, rye (includes pumpernickel) - 0.5 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc210027dc,NULL,3,NULL,NULL,55,4,0,0,NULL,0,0,0,127,10,1,0,1,0,0,1,2,NULL,0,oz,14,2013-06-28T10:53:50-04:00
USDA,"Babyfood, meat, chicken, strained - 1 jar Heinz Strained-2 (2.5 oz)",513fcc648110a4cafb90ca5e,513fceb375b8dbbc210002be,NULL,3,NULL,NULL,92,50,5,1,NULL,1,2,43,34,0,0,0,9,0,2,4,5,NULL,1,jar Heinz Strained-2 (2.5 oz),71,2013-06-28T10:53:50-04:00
USDA,"Cereals, MAYPO, dry - 1 cup",513fcc648110a4cafb90ca5e,513fceb475b8dbbc21000e45,NULL,3,NULL,NULL,361,44,4,0,NULL,1,1,0,17,67,10,32,12,99,100,26,99,NULL,1,cup,94,2013-06-28T10:53:50-04:00
USDA,"Babyfood, meat, chicken, strained - 1 jar Heinz Strained-2 (2.5 oz)",513fcc648110a4cafb90ca5e,513fceb375b8dbbc210002be,NULL,3,NULL,NULL,92,50,5,1,NULL,1,2,43,34,0,0,0,9,0,2,4,5,NULL,1,jar Heinz Strained-2 (2.5 oz),71,2013-06-28T10:53:50-04:00
USDA,"Cake mix, dry, white, regular - 1 oz",513fcc648110a4cafb90ca5e,513fceb775b8dbbc21002716,NULL,3,NULL,NULL,105,9,1,0,NULL,0,0,0,196,23,0,11,1,0,0,6,3,NULL,1,oz,28,2013-06-28T10:53:50-04:00
